URI problem type	Thurayya URI	Author YML
auto	Iraq_RE_Auto	0228AbuJahmBahili.yml
auto	Iraq_RE_Auto	0230CaliIbnJacd.yml
auto	Iraq_RE_Auto	0230YaclaIbnCibad.yml
auto	Iraq_RE_Auto	0231IbnMirdasSarraj.yml
auto	Iraq_RE_Auto	0231IbnSallamJumahi.yml
auto	Iraq_RE_Auto	0231IbnZiyadAcrabi.yml
auto	Iraq_RE_Auto	0235IbnAbiShayba.yml
auto	Iraq_RE_Auto	0235IbnYunusBaghdadi.yml
auto	Iraq_RE_Auto	0243HannadIbnSari.yml
auto	Iraq_RE_Auto	0245LuwaynMissisi.yml
auto	Iraq_RE_Auto	0246AhmadDawraqi.yml
auto	Iraq_RE_Auto	0246IbnCumarDuri.yml
auto	Iraq_RE_Auto	0247AhmadIbnCisa.yml
auto	Iraq_RE_Auto	0250ThabitIbnAbiThabit.yml
auto	JaziratArab_RE_Auto	0230AbuMushal.yml
auto	JaziratArab_RE_Auto	0234CaliIbnMadini.yml
auto	JaziratArab_RE_Auto	0236AbuCabdAllahZubayri.yml
auto	JaziratArab_RE_Auto	0240IbnYahyaKinani.yml
auto	JaziratArab_RE_Auto	0243IbnYahyaCadani.yml
auto	Khurasan_RE_Auto	0227IbnMansurKhurasani.yml
auto	Khurasan_RE_Auto	0228IbnHammadKhuzaci.yml
auto	Khurasan_RE_Auto	0234AbuKhaythamaNisai.yml
auto	Khurasan_RE_Auto	0242IbnAslamTusi.yml
auto	Khurasan_RE_Auto	0246HusaynMarwazi.yml
auto	Sham_RE_Auto	0246HishamSulami.yml
auto	Sind_RE_Auto	0249CabdIbnHamid.yml
