URI problem type	Thurayya URI	Author YML
R_O_W	NAFZAWA_092E336N_R	0386IbnAbiZaydQayrawani.yml
R_O_W	NASA_711E404N_R	0303Nasai.yml
R_O_W	NAYSABUR_587E361N_R	0450AbuHasanMawardi.yml
R_O_W	QANNAWJ_800E271N_R	1307Qannawji.yml
R_O_W	SHAHRAZUR_460E352N_R	0427IbnCaliShahrazuri.yml
R_O_W	SHAHRAZUR_460E352N_R	0643IbnSalahShahrazuri.yml
R_O_W	SUGHD_659E394N_R	0461IbnHusaynSughdi.yml
R_O_W	TABARISTAN_526E363N_R	0548IbnHasanTabarsi.yml
R_O_W	TABRISH_500E347N_R	0548IbnHasanTabarsi.yml
R_O_W	TIHAMA_425E175N_R	0416CaliIbnMuhammadTihami.yml
R_O_W	UMAN_564E238N_R	0170KhalilFarahidi.yml
R_O_W	UMAN_564E238N_R	0364AbuHasanBisyawi.yml
XXXYYY	AHMADABADXXXYYY	0975MuttaqiHindi.yml
XXXYYY	AQSARAYXXXYYY	0638IbnCarabi.yml
XXXYYY	AYNTABXXXYYY	0855BadrDinCayni.yml
XXXYYY	BURHANPURXXXYYY	0975MuttaqiHindi.yml
XXXYYY	BURSAXXXYYY	0873AbuZaydThacalibi.yml
XXXYYY	BURSAXXXYYY	0982IbnMuhammadAbuSucud.yml
XXXYYY	ERZURUMXXXYYY	0786IbnMuhammadBabarti.yml
XXXYYY	HILLAXXXYYY	0726CallamaHilli.yml
XXXYYY	ISTANBULXXXYYY	0626YaqutHamawi.yml
XXXYYY	ISTANBULXXXYYY	0966ShahidThani.yml
XXXYYY	ISTANBULXXXYYY	0982IbnMuhammadAbuSucud.yml
XXXYYY	JAZAIRXXXYYY	0873AbuZaydThacalibi.yml
XXXYYY	JIBZIXXXYYY	0982IbnMuhammadAbuSucud.yml
XXXYYY	MAYURQAXXXYYY	0474IbnKhalafBaji.yml
XXXYYY	QAYSXXXYYY	0626YaqutHamawi.yml
XXXYYY	QUNIYAXXXYYY	0638IbnCarabi.yml
XXXYYY	RAWANDXXXYYY	0573IbnHibatAllahQutbDinRawandi.yml
XXXYYY	RUMILIXXXYYY	0982IbnMuhammadAbuSucud.yml
XXXYYY	SAFADXXXYYY	0764Safadi.yml
XXXYYY	SIWASXXXYYY	0638IbnCarabi.yml
XXXYYY	SULTANIYYAXXXYYY	0726CallamaHilli.yml
XXXYYY	URYULAXXXYYY	0474IbnKhalafBaji.yml
XXXYYY	ZAYLAXXXYYY	0743FakhrDinZaylaci.yml
auto	Andalus_RE_Auto	0255IbnAhmadQurtubi.yml
auto	Andalus_RE_Auto	0276IbnMukhalladQurtubi.yml
auto	Andalus_RE_Auto	0286IbnWaddahQurtubi.yml
auto	Andalus_RE_Auto	0370CaribQurtubi.yml
auto	Andalus_RE_Auto	0378IbnSalihQahtani.yml
auto	Andalus_RE_Auto	0403IbnZanjala.yml
auto	Andalus_RE_Auto	0420IbnHasanTabib.yml
auto	Andalus_RE_Auto	0449IbnBattalQurtubi.yml
auto	Andalus_RE_Auto	0463IbnZaydun.yml
auto	Andalus_RE_Auto	0474IbnKhalafBaji.yml
auto	Andalus_RE_Auto	0476AclamShantamari.yml
auto	Andalus_RE_Auto	0496IbnNajahAndalusi.yml
auto	Andalus_RE_Auto	0497IbnFarajIbnTallacQurtubi.yml
auto	Andalus_RE_Auto	0498AbuCaliJayyani.yml
auto	Andalus_RE_Auto	0533IbnBajja.yml
auto	Andalus_RE_Auto	0540IbnBadhish.yml
