versionUri	language	subcorpus	uncorrected_OCR	date	author_ar	author_lat	book	title_ar	title_lat	ed_info	id	status	tok_length	char_length	url	tags	author_from_uri	author_lat_shuhra	author_lat_full_name	city_ar	city_lat	institution_ar	institution_lat	shelfmark	catalog_ref	parts
MS0001ChicagoISAC.ISACMA154070FieldCT205_3b.IEDC1269-mpp1	mpp	MSS	False							https://www.invisible-east.org/corpus/1269/	IEDC1269	pri	9	36	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0001ChicagoISAC/MS0001ChicagoISAC.ISACMA154070FieldCT205_3b/MS0001ChicagoISAC.ISACMA154070FieldCT205_3b.IEDC1269-mpp1					شيكاغو	Chicago	معهد الدراسات المجتمعات القديمة	Institute for the Study of Ancient Cultures	ISACM A154070 (field no. CT-205/3b)		
MS0001PhiladelphiaPenn.PM37_33_21FieldCT135_5.IEDC1265-mpp1	mpp	MSS	False							https://www.invisible-east.org/corpus/1265/	IEDC1265	pri	17	75	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0001PhiladelphiaPenn/MS0001PhiladelphiaPenn.PM37_33_21FieldCT135_5/MS0001PhiladelphiaPenn.PM37_33_21FieldCT135_5.IEDC1265-mpp1					فيلادلفيا	Philadelphia	متحف الآثار وعلم الانسان في جامعة پنسلفانيا	Penn Museum	PM 37-33-21 (field no. CT-135/5)		
MS0001PhiladelphiaPenn.PM37_33_42FieldCT135_6.IEDC1266-mpp1	mpp	MSS	False							https://www.invisible-east.org/corpus/1266/	IEDC1266	pri	2	11	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0001PhiladelphiaPenn/MS0001PhiladelphiaPenn.PM37_33_42FieldCT135_6/MS0001PhiladelphiaPenn.PM37_33_42FieldCT135_6.IEDC1266-mpp1					فيلادلفيا	Philadelphia	متحف الآثار وعلم الانسان في جامعة پنسلفانيا	Penn Museum	PM 37-33-42 (field no. CT-135/6)		
MS0001PhiladelphiaPenn.PM37_33_50FieldCT135_4.IEDC1264-mpp1	mpp	MSS	False							https://www.invisible-east.org/corpus/1264/	IEDC1264	pri	8	30	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0001PhiladelphiaPenn/MS0001PhiladelphiaPenn.PM37_33_50FieldCT135_4/MS0001PhiladelphiaPenn.PM37_33_50FieldCT135_4.IEDC1264-mpp1					فيلادلفيا	Philadelphia	متحف الآثار وعلم الانسان في جامعة پنسلفانيا	Penn Museum	PM 37-33-50 (field no. CT-135/4)		
MS0001PhiladelphiaPenn.PM37_33_52FieldCT135_2.IEDC1263-mpp1	mpp	MSS	False							https://www.invisible-east.org/corpus/1263/	IEDC1263	pri	9	38	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0001PhiladelphiaPenn/MS0001PhiladelphiaPenn.PM37_33_52FieldCT135_2/MS0001PhiladelphiaPenn.PM37_33_52FieldCT135_2.IEDC1263-mpp1					فيلادلفيا	Philadelphia	متحف الآثار وعلم الانسان في جامعة پنسلفانيا	Penn Museum	PM 37-33-52 (field no. CT-135/2)		
MS0001PhiladelphiaPenn.PM37_33_54FieldCT135_1.IEDC1262-mpp1	mpp	MSS	False							https://www.invisible-east.org/corpus/1262/	IEDC1262	pri	6	22	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0001PhiladelphiaPenn/MS0001PhiladelphiaPenn.PM37_33_54FieldCT135_1/MS0001PhiladelphiaPenn.PM37_33_54FieldCT135_1.IEDC1262-mpp1					فيلادلفيا	Philadelphia	متحف الآثار وعلم الانسان في جامعة پنسلفانيا	Penn Museum	PM 37-33-54 (field no. CT-135/1)		
MS0001PrincetonUL.Garett247B.SK202503-per1	per	MSS	False		نصیر الدین البیضاوی	نصیر الدین البیضاوی		نظام التواریخ	نظام التواریخ		SK202503	pri	1752	6567	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0001PrincetonUL/MS0001PrincetonUL.Garett247B/MS0001PrincetonUL.Garett247B.SK202503-per1	SK@تاریخ :: EXTRACTED_PART		نصیر الدین البیضاوی	نصیر الدین البیضاوی	برينستون، نيو جيرسي	Princeton :: New Jersey	مكتبة جامعت برينستون	Princeton University Library	Garett 247B		
MS0001VirginiaPrivate.SimsWilliamsO.IEDC0001-bac1	bac	MSS	False							https://www.invisible-east.org/corpus/1/	IEDC0001	pri	334	1964	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0001VirginiaPrivate/MS0001VirginiaPrivate.SimsWilliamsO/MS0001VirginiaPrivate.SimsWilliamsO.IEDC0001-bac1					فرجينيا	Virginia	مجموعة خاصة	Private Collection	Sims-Williams O		
MS0044LondonBL.Or8212_166.IEDC1281-jup1	jup	MSS	False							https://www.invisible-east.org/corpus/1281/	IEDC1281	pri	320	1197	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonBL/MS0044LondonBL.Or8212_166/MS0044LondonBL.Or8212_166.IEDC1281-jup1					لندن	London	المكتبة البريطانية	British Library	Or.8212/166		
MS0044LondonKhalili.DOC10.IEDC0008-bac1	bac	MSS	False							https://www.invisible-east.org/corpus/8/	IEDC0008	pri	758	4399	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC10/MS0044LondonKhalili.DOC10.IEDC0008-bac1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 10		
