versionUri	date	author	book	title	ed_info	id	status	length	url	tags
0001TarafaIbnCabd.Diwan.JK007518-ara1	0001	Tarafa Ibn Cabd :: طرفة بن العبد	0001TarafaIbnCabd.Diwan	Diwan :: ديوان طرفة بن العبد		JK007518	sec	4161	data/0001TarafaIbnCabd/0001TarafaIbnCabd.Diwan/0001TarafaIbnCabd.Diwan.JK007518-ara1	CENT0100 :: _ADAB :: _BALAGHA :: _SHICR_JAHILI :: _SHICR :: جاهلي :: دواوين الشعر العربي
0001TarafaIbnCabd.Diwan.Shamela0036422-ara1	0001	Tarafa Ibn Cabd :: طرفة بن العبد بن سفيان بن سعد البكري الوائلي أبو عمرو الشاعر الجاهلي (المتوفى: 564 م)	0001TarafaIbnCabd.Diwan	Diwan :: ديوان طرفة بن العبد	مهدي محمد ناصر الدين :: دار الكتب العلمية	Shamela0036422	pri	5572	data/0001TarafaIbnCabd/0001TarafaIbnCabd.Diwan/0001TarafaIbnCabd.Diwan.Shamela0036422-ara1	CENT0100 :: _ADAB :: _BALAGHA :: _SHICR_JAHILI :: _SHICR :: الأدب والبلاغة
0007MaymunIbnQaysAcsha.Diwan.JK007503-ara1	0007	Maymun Ibn Qays Acsha :: الأعشى	0007MaymunIbnQaysAcsha.Diwan	Diwan :: ديوان الأعشى		JK007503	pri	19432	data/0007MaymunIbnQaysAcsha/0007MaymunIbnQaysAcsha.Diwan/0007MaymunIbnQaysAcsha.Diwan.JK007503-ara1	_SHICR_JAHILI :: _SHICR :: جاهلي :: دواوين الشعر العربي
0011CamirIbnTufayl.Diwan.JK007520-ara1	0011	Camir Ibn Tufayl :: عامر بن الطفيل	0011CamirIbnTufayl.Diwan	Diwan :: ديوان عامر بن الطفيل		JK007520	pri	3521	data/0011CamirIbnTufayl/0011CamirIbnTufayl.Diwan/0011CamirIbnTufayl.Diwan.JK007520-ara1	_SHICR_JAHILI :: _SHICR :: جاهلي :: دواوين الشعر العربي
0021CamrZubaydi.Diwan.JK007536-ara1	0021	Camr Zubaydi :: عمرو بن معدي كرب	0021CamrZubaydi.Diwan	Diwan :: ديوان عمرو بن معدي كرب		JK007536	pri	891	data/0021CamrZubaydi/0021CamrZubaydi.Diwan/0021CamrZubaydi.Diwan.JK007536-ara1	_MUKHADRAM :: _SHICR :: دواوين الشعر العربي :: مخضرم
0022ShammakhIbnDirar.Diwan.JK007533-ara1	0022	Shammakh Ibn Dirar :: الشماخ بن ضرار	0022ShammakhIbnDirar.Diwan	Diwan :: ديوان الشماخ بن ضرار		JK007533	pri	5525	data/0022ShammakhIbnDirar/0022ShammakhIbnDirar.Diwan/0022ShammakhIbnDirar.Diwan.JK007533-ara1	_MUKHADRAM :: _SHICR :: دواوين الشعر العربي :: مخضرم
0024TumadirBinCamrKhansa.Diwan.JK007532-ara1	0024	Tumadir Bin Camr Khansa :: الخنساء	0024TumadirBinCamrKhansa.Diwan	Diwan :: ديوان الخنساء		JK007532	pri	8410	data/0024TumadirBinCamrKhansa/0024TumadirBinCamrKhansa.Diwan/0024TumadirBinCamrKhansa.Diwan.JK007532-ara1	_MUKHADRAM :: _SHICR :: دواوين الشعر العربي :: مخضرم
0030CurwaIbnHizam.Diwan.JK007555-ara1	0030	Curwa Ibn Hizam :: عروة بن حزام	0030CurwaIbnHizam.Diwan	Diwan :: ديوان عروة بن حزام		JK007555	pri	1738	data/0030CurwaIbnHizam/0030CurwaIbnHizam.Diwan/0030CurwaIbnHizam.Diwan.JK007555-ara1	_SHICR :: _SHICR_UMAWI :: أموي :: دواوين الشعر العربي
0040CaliIbnAbiTalib.Diwan.JK007540-ara1	0040	Cali Ibn Abi Talib :: علي بن أبي طالب	0040CaliIbnAbiTalib.Diwan	Diwan :: ديوان علي بن أبي طالب		JK007540	pri	7921	data/0040CaliIbnAbiTalib/0040CaliIbnAbiTalib.Diwan/0040CaliIbnAbiTalib.Diwan.JK007540-ara1	_SHICR_ISLAMI :: _SHICR :: إسلامي :: دواوين الشعر العربي
0040CaliIbnAbiTalib.NahjBalagha.Shia001107Vols-ara1	0040	Cali Ibn Abi Talib :: خطب الإمام علي (ع)	0040CaliIbnAbiTalib.NahjBalagha	Nahj Balagha :: نهج البلاغة	شرح : الشيخ محمد عبده :: 1412 - 1370 ش	Shia001107Vols	pri	144784	data/0040CaliIbnAbiTalib/0040CaliIbnAbiTalib.NahjBalagha/0040CaliIbnAbiTalib.NahjBalagha.Shia001107Vols-ara1	CENT0100 :: _HADITH :: _SHICI :: مصادر الحديث الشيعية ـ قسم الفقه
