versionUri	language	subcorpus	uncorrected_OCR	date	author_ar	author_lat	book	title_ar	title_lat	ed_info	id	status	tok_length	char_length	url	tags	author_from_uri	author_lat_shuhra	author_lat_full_name	city_ar	city_lat	institution_ar	institution_lat	shelfmark	catalog_ref	parts
0001AbuTalibCabdManaf.Diwan.JK007501-ara1	ara	ara	False	0001	أبو طالب	Abu Talib Cabd Manaf	0001AbuTalibCabdManaf.Diwan	ديوان أبو طالب	Diwan		JK007501	pri	6323	24474	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001AbuTalibCabdManaf/0001AbuTalibCabdManaf.Diwan/0001AbuTalibCabdManaf.Diwan.JK007501-ara1	_SHICR_JAHILI :: GAL@pseudo-calid :: GAL@literature-national :: _SHICR :: GAL@literature-arabic :: GAL@period-muhammad :: JK@جاهلي :: JK@دواوين الشعر العربي :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE :: RECONSTRUCTED_TEXT :: PRIMARY_VERSION :: CLEANED_VERSION	Abu Talib Cabd Manaf									
0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1	ara	ara	False	0001	أبو طالب بن عبد المطلب :: أبو طالب	Abu Talib Cabd Manaf	0001AbuTalibCabdManaf.Diwan	ديوان أبي طالب  :: ديوان أبي طالب	Diwan		ShamAY0037822	sec	5740	23656	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001AbuTalibCabdManaf/0001AbuTalibCabdManaf.Diwan/0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1	_SHICR_JAHILI :: GAL@pseudo-calid :: GAL@literature-national :: _SHICR :: GAL@literature-arabic :: GAL@period-muhammad :: JK@جاهلي :: JK@دواوين الشعر العربي :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE	Abu Talib Cabd Manaf									
0001AwsIbnHajar.Diwan.JK007502-ara1	ara	ara	False	0001	أوس بن حجر	Aws Ibn Hajar	0001AwsIbnHajar.Diwan	ديوان أوس بن حجر	Diwan		JK007502	pri	5743	22581	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001AwsIbnHajar/0001AwsIbnHajar.Diwan/0001AwsIbnHajar.Diwan.JK007502-ara1	_SHICR_JAHILI :: GAL@period-premuhammad :: GAL@literature-national :: _SHICR :: GAL@literature-arabic :: JK@جاهلي :: JK@دواوين الشعر العربي :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE :: RECONSTRUCTED_TEXT :: PRIMARY_VERSION :: CLEANED_VERSION	Aws Ibn Hajar									
0001AwsIbnHajar.Diwan.ShamAY0037914-ara1	ara	ara	False	0001	أوس بن حجر بن مالك التميمي أبو شريح :: أوس بن حجر	Aws Ibn Hajar	0001AwsIbnHajar.Diwan	ديوان أوس بن حجر	Diwan		ShamAY0037914	sec	5212	21791	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001AwsIbnHajar/0001AwsIbnHajar.Diwan/0001AwsIbnHajar.Diwan.ShamAY0037914-ara1	_SHICR_JAHILI :: GAL@period-premuhammad :: GAL@literature-national :: _SHICR :: GAL@literature-arabic :: JK@جاهلي :: JK@دواوين الشعر العربي :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE	Aws Ibn Hajar									
0001CalqamaFahl.Diwan.JK007522-ara1	ara	ara	False	0001	علقمة الفحل	Calqama Fahl	0001CalqamaFahl.Diwan	ديوان علقمة الفحل	Diwan		JK007522	pri	2299	9182	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CalqamaFahl/0001CalqamaFahl.Diwan/0001CalqamaFahl.Diwan.JK007522-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: RECONSTRUCTED_TEXT :: PRIMARY_VERSION :: CLEANED_VERSION	Calqama Fahl									
0001CalqamaFahl.Diwan.ShamAY0037936-ara1	ara	ara	False	0001	علقمة بن عبدة بن ناشرة بن قيس، من بني تميم :: علقمة الفحل	Calqama Fahl	0001CalqamaFahl.Diwan	ديوان علقمة الفحل :: ديوان علقمة الفحل 	Diwan		ShamAY0037936	sec	2089	8860	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CalqamaFahl/0001CalqamaFahl.Diwan/0001CalqamaFahl.Diwan.ShamAY0037936-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE	Calqama Fahl									
0001CamrIbnKulthum.Diwan.JK007524-ara1	ara	ara	False	0001	عمرو بن كلثوم	Camr Ibn Kulthum	0001CamrIbnKulthum.Diwan	ديوان عمرو بن كلثوم	Diwan		JK007524	pri	76	298	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Diwan/0001CamrIbnKulthum.Diwan.JK007524-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Camr Ibn Kulthum									
0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1	ara	ara	False	0001	عمرو بن كلثوم :: عمرو بن كلثوم بن مالك بن عتاب، أبو الأسود، من بني تغلب المتوفى سنة	Camr Ibn Kulthum	0001CamrIbnKulthum.Diwan	ديوان عمرو بن كلثوم :: ديوان عمرو بن كلثوم 	Diwan		ShamAY0037904	sec	68	302	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Diwan/0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE	Camr Ibn Kulthum									
0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1	ara	ara	False	0001	عمرو بن كلثوم	Camr Ibn Kulthum	0001CamrIbnKulthum.Mucallaqa	معلقة عمرو بن كلثوم	Mucallaqa		ShamAY0038526	pri	872	3889	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Mucallaqa/0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Camr Ibn Kulthum									
0001CamrIbnMalik.Diwan.JK007525-ara1	ara	ara	False	0001	عمرو بن مالك	Camr Ibn Malik	0001CamrIbnMalik.Diwan	ديوان عمرو بن مالك	Diwan		JK007525	pri	1607	6149	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CamrIbnMalik/0001CamrIbnMalik.Diwan/0001CamrIbnMalik.Diwan.JK007525-ara1	_SHICR_JAHILI :: GAL@period-premuhammad :: GAL@literature-national :: _SHICR :: GAL@literature-arabic :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Camr Ibn Malik									
0001CamrIbnQumaya.Diwan.JK007523-ara1	ara	ara	False	0001	عمرو بن قميئة	Camr Ibn Qumaya	0001CamrIbnQumaya.Diwan	ديوان عمرو بن قميئة	Diwan		JK007523	pri	2462	9718	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CamrIbnQumaya/0001CamrIbnQumaya.Diwan/0001CamrIbnQumaya.Diwan.JK007523-ara1	_SHICR_JAHILI :: GAL@period-premuhammad :: GAL@literature-national :: _SHICR :: GAL@literature-arabic :: JK@جاهلي :: JK@دواوين الشعر العربي :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Camr Ibn Qumaya									
0001CamrIbnQumaya.Diwan.ShamAY0037903-ara1	ara	ara	False	0001	عمرو بن قميئة بن سعد بن مالك :: عمرو بن قميئة	Camr Ibn Qumaya	0001CamrIbnQumaya.Diwan	ديوان عمرو بن قميئة  :: ديوان عمرو بن قميئة	Diwan		ShamAY0037903	sec	2218	9367	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CamrIbnQumaya/0001CamrIbnQumaya.Diwan/0001CamrIbnQumaya.Diwan.ShamAY0037903-ara1	_SHICR_JAHILI :: GAL@period-premuhammad :: GAL@literature-national :: _SHICR :: GAL@literature-arabic :: JK@جاهلي :: JK@دواوين الشعر العربي :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE	Camr Ibn Qumaya									
0001CantaraIbnShaddad.Diwan.JK007526-ara1	ara	ara	False	0001	عنترة بن شداد	Cantara Ibn Shaddad	0001CantaraIbnShaddad.Diwan	ديوان عنترة بن شداد	Diwan		JK007526	pri	18366	72312	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CantaraIbnShaddad/0001CantaraIbnShaddad.Diwan/0001CantaraIbnShaddad.Diwan.JK007526-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Cantara Ibn Shaddad									
0001CantaraIbnShaddad.Diwan.LAL2018100901-ara2	ara	ara	False	0001	ʿAntarah ibn Shaddād :: عنترة بن شدّاد	Cantara Ibn Shaddad	0001CantaraIbnShaddad.Diwan		Diwan	https://www.worldcat.org/nl/title/1088803462 :: جيمس مونتغنري :: James E. Montgomery :: New York University Press	LAL2018100901	sec	5673	23870	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CantaraIbnShaddad/0001CantaraIbnShaddad.Diwan/0001CantaraIbnShaddad.Diwan.LAL2018100901-ara2	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: PAGINATION	Cantara Ibn Shaddad									
0001CantaraIbnShaddad.Diwan.ShamAY0037906-ara1	ara	ara	False	0001	عنترة بن شداد :: عنترة بن شداد بن عمرو بن معاوية بن قراد العبسي. أشهر فرسان العرب في الجاهلية المتوفى سنة (22 ق. ه / 601 م)	Cantara Ibn Shaddad	0001CantaraIbnShaddad.Diwan	ديوان عنترة بن شداد :: ديوان عنترة بن شداد 	Diwan		ShamAY0037906	sec	29322	123702	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CantaraIbnShaddad/0001CantaraIbnShaddad.Diwan/0001CantaraIbnShaddad.Diwan.ShamAY0037906-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE	Cantara Ibn Shaddad									
0001CantaraIbnShaddad.Mucallaqa.ShamAY0038527-ara1	ara	ara	False	0001	عنترة بن شداد	Cantara Ibn Shaddad	0001CantaraIbnShaddad.Mucallaqa	معلقة عنترة	Mucallaqa		ShamAY0038527	pri	654	2797	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CantaraIbnShaddad/0001CantaraIbnShaddad.Mucallaqa/0001CantaraIbnShaddad.Mucallaqa.ShamAY0038527-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Cantara Ibn Shaddad									
0001CurwaIbnWard.Diwan.JK007521-ara1	ara	ara	False	0001	عروة بن الورد	Curwa Ibn Ward	0001CurwaIbnWard.Diwan	ديوان عروة بن الورد	Diwan		JK007521	pri	2623	10075	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CurwaIbnWard/0001CurwaIbnWard.Diwan/0001CurwaIbnWard.Diwan.JK007521-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Curwa Ibn Ward									
0001CurwaIbnWard.Diwan.ShamAY0037959-ara1	ara	ara	False	0001	عروة بن الورد بن زيد العبسي، من غطفان من شعراء الجاهلية :: عروة بن الورد	Curwa Ibn Ward	0001CurwaIbnWard.Diwan	ديوان عروة بن الورد  :: ديوان عروة بن الورد	Diwan		ShamAY0037959	sec	2390	9800	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001CurwaIbnWard/0001CurwaIbnWard.Diwan/0001CurwaIbnWard.Diwan.ShamAY0037959-ara1	ShamAY@الدواوين الشعرية - مرقم آليا :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE	Curwa Ibn Ward									
0001HajibIbnMudallil.Diwan.JK007515-ara1	ara	ara	False	0001	حاجب بن حبيب	Hajib Ibn Mudallil	0001HajibIbnMudallil.Diwan	ديوان حاجب بن حبيب	Diwan		JK007515	pri	227	895	https://raw.githubusercontent.com/OpenITI/0025AH/master/data/0001HajibIbnMudallil/0001HajibIbnMudallil.Diwan/0001HajibIbnMudallil.Diwan.JK007515-ara1	GAL@nodata :: _SHICR :: _SHICR_JAHILI :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE :: PRIMARY_VERSION :: CLEANED_VERSION	Hajib Ibn Mudallil									
