versionUri	language	subcorpus	uncorrected_OCR	date	author_ar	author_lat	book	title_ar	title_lat	ed_info	id	status	tok_length	char_length	url	tags	author_from_uri	author_lat_shuhra	author_lat_full_name	city_ar	city_lat	institution_ar	institution_lat	shelfmark	catalog_ref	parts
0227IbnMansurKhurasani.Sunan.JK001473-ara1	ara	ara	False	0227	سعيد بن منصور	Ibn Mansur Khurasani	0227IbnMansurKhurasani.Sunan	سنن سعيد بن منصور (2) :: سنن سعيد بن منصور	Sunan	د. سعد بن عبد الله بن عبد العزيز آل حميد :: الرياض :: 1414 :: دار العصيمي	JK001473	sec	48153	188711	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0250AH/data/0227IbnMansurKhurasani/0227IbnMansurKhurasani.Sunan/0227IbnMansurKhurasani.Sunan.JK001473-ara1	GAL@nodata :: _TARAJIM :: _HADITH :: _SUNAN :: CENT0300 :: JK@السنن :: JK@كتب الحديث النبوي الشريف وتراجم الرواة :: Shamela@متون الحديث :: ShamAY@متون الحديث :: born@Khurasan_RE_Auto	Ibn Mansur Khurasani									
0227IbnMansurKhurasani.Sunan.ShamAY0033972-ara1	ara	ara	False	0227	أبو عثمان سعيد بن منصور بن شعبة الخراساني الجوزجاني :: سعيد بن منصور	Ibn Mansur Khurasani	0227IbnMansurKhurasani.Sunan	سنن سعيد بن منصور  :: سنن سعيد بن منصور :: سنن سعيد بن منصور - ت الأعظمي - ت العلمية	Sunan	حبيب الرحمن الأعظمي :: الأولى، 1985 م :: دار الكتب العلمية - بيروت	ShamAY0033972	sec	116725	453149	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0250AH/data/0227IbnMansurKhurasani/0227IbnMansurKhurasani.Sunan/0227IbnMansurKhurasani.Sunan.ShamAY0033972-ara1	GAL@nodata :: _TARAJIM :: _HADITH :: _SUNAN :: CENT0300 :: JK@السنن :: JK@كتب الحديث النبوي الشريف وتراجم الرواة :: Shamela@متون الحديث :: ShamAY@متون الحديث :: born@Khurasan_RE_Auto	Ibn Mansur Khurasani									
0227IbnMansurKhurasani.Sunan.ShamAY0038067-ara1	ara	ara	False	0227	سعيد بن منصور :: أبو عثمان سعيد بن منصور بن شعبة الخراساني الجوزجاني	Ibn Mansur Khurasani	0227IbnMansurKhurasani.Sunan	سنن سعيد بن منصور - ط العلمية والصميعي والألوكة :: سنن سعيد بن منصور  :: سنن سعيد بن منصور	Sunan	فريق من الباحثين بإشراف سعد الحميد، وخالد الجريسي :: الأولى، 2012 م :: دار الألوكة للنشر - الرياض	ShamAY0038067	sec	232217	907417	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0250AH/data/0227IbnMansurKhurasani/0227IbnMansurKhurasani.Sunan/0227IbnMansurKhurasani.Sunan.ShamAY0038067-ara1	GAL@nodata :: _TARAJIM :: _HADITH :: _SUNAN :: CENT0300 :: JK@السنن :: JK@كتب الحديث النبوي الشريف وتراجم الرواة :: Shamela@متون الحديث :: ShamAY@متون الحديث :: born@Khurasan_RE_Auto	Ibn Mansur Khurasani									
0227IbnMansurKhurasani.Sunan.Shamela0013122-ara1	ara	ara	False	0227	أبو عثمان سعيد بن منصور بن شعبة الخراساني الجوزجاني (المتوفى: 227هـ)	Ibn Mansur Khurasani	0227IbnMansurKhurasani.Sunan	سنن سعيد بن منصور	Sunan	حبيب الرحمن الأعظمي :: الدار السلفية - الهند	Shamela0013122	pri	122268	462298	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0250AH/data/0227IbnMansurKhurasani/0227IbnMansurKhurasani.Sunan/0227IbnMansurKhurasani.Sunan.Shamela0013122-ara1	GAL@nodata :: _TARAJIM :: _HADITH :: _SUNAN :: CENT0300 :: JK@السنن :: JK@كتب الحديث النبوي الشريف وتراجم الرواة :: Shamela@متون الحديث :: ShamAY@متون الحديث :: born@Khurasan_RE_Auto :: PRIMARY_VERSION :: CLEANED_VERSION	Ibn Mansur Khurasani									
0227IbnMansurKhurasani.TafsirMinSunanSacid.JK000784-ara1	ara	ara	False	0227	سعيد بن منصور الخراساني :: سعيد بن منصور	Ibn Mansur Khurasani	0227IbnMansurKhurasani.TafsirMinSunanSacid	سنن سعيد بن منصور (1) :: سنن سعيد بن منصور	Tafsir Min Sunan Sacid	حبيب الرحمن الأعظمي :: الهند :: 1403هـ -1982م :: الدار السلفية	JK000784	pri	119240	461614	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0250AH/data/0227IbnMansurKhurasani/0227IbnMansurKhurasani.TafsirMinSunanSacid/0227IbnMansurKhurasani.TafsirMinSunanSacid.JK000784-ara1	GAL@nodata :: _FIQH :: _TARAJIM :: _HADITH :: _SUNAN :: CENT0300 :: JK@السنن :: JK@فقه الحديث والمذاهب الأخرى :: JK@كتب الحديث النبوي الشريف وتراجم الرواة :: Shamela@متون الحديث :: born@Khurasan_RE_Auto :: PRIMARY_VERSION :: CLEANED_VERSION	Ibn Mansur Khurasani									
0227IbnMansurKhurasani.TafsirMinSunanSacid.Shamela0001254-ara1	ara	ara	False	0227	أبو عثمان سعيد بن منصور بن شعبة الخراساني الجوزجاني (المتوفى: 227هـ)	Ibn Mansur Khurasani	0227IbnMansurKhurasani.TafsirMinSunanSacid	التفسير من سنن سعيد بن منصور - محققا	Tafsir Min Sunan Sacid	د سعد بن عبد الله بن عبد العزيز آل حميد :: دار الصميعي للنشر والتوزيع	Shamela0001254	sec	89690	357170	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0250AH/data/0227IbnMansurKhurasani/0227IbnMansurKhurasani.TafsirMinSunanSacid/0227IbnMansurKhurasani.TafsirMinSunanSacid.Shamela0001254-ara1	GAL@nodata :: _FIQH :: _TARAJIM :: _HADITH :: _SUNAN :: CENT0300 :: JK@السنن :: JK@فقه الحديث والمذاهب الأخرى :: JK@كتب الحديث النبوي الشريف وتراجم الرواة :: Shamela@متون الحديث :: born@Khurasan_RE_Auto	Ibn Mansur Khurasani									
0227IbnMansurKhurasani.TafsirMinSunanSacid.Shamela0013008-ara1	ara	ara	False	0227	أبو عثمان سعيد بن منصور بن شعبة الخراساني الجوزجاني (المتوفى: 227هـ)	Ibn Mansur Khurasani	0227IbnMansurKhurasani.TafsirMinSunanSacid	التفسير من سنن سعيد بن منصور	Tafsir Min Sunan Sacid	د سعد بن عبد الله بن عبد العزيز آل حميد :: دار الصميعي للنشر والتوزيع	Shamela0013008	sec	54222	208605	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0250AH/data/0227IbnMansurKhurasani/0227IbnMansurKhurasani.TafsirMinSunanSacid/0227IbnMansurKhurasani.TafsirMinSunanSacid.Shamela0013008-ara1	GAL@nodata :: _FIQH :: _TARAJIM :: _HADITH :: _SUNAN :: CENT0300 :: JK@السنن :: JK@فقه الحديث والمذاهب الأخرى :: JK@كتب الحديث النبوي الشريف وتراجم الرواة :: Shamela@متون الحديث :: born@Khurasan_RE_Auto	Ibn Mansur Khurasani									
0228AbuJahmBahili.Juz.Shamela0009088-ara1	ara	ara	False	0228	العلاء بن موسى بن عطية البغدادي، أبو الجهم الباهلي (المتوفى: 228هـ)	Abu Jahm Bahili	0228AbuJahmBahili.Juz	جزء أبي الجهم العلاء بن موسى الباهلي	Juz	عبد الرحيم بن محمد بن أحمد القشقري :: مكتبة الرشد، الرياض، المملكة العربية السعودية	Shamela0009088	pri	6117	22930	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0250AH/data/0228AbuJahmBahili/0228AbuJahmBahili.Juz/0228AbuJahmBahili.Juz.Shamela0009088-ara1	_HADITH :: _AJZA :: CENT0300 :: GAL@nodata :: Shamela@الأجزاء الحديثية :: born@Iraq_RE_Auto :: PRIMARY_VERSION :: CLEANED_VERSION	Abu Jahm Bahili									
0228IbnHammadKhuzaci.Fitan.JK000025-ara1	ara	ara	False	0228	نعيم بن حماد المروزي أبو عبد الله :: نعيم بن حماد	Ibn Hammad Khuzaci	0228IbnHammadKhuzaci.Fitan	كتاب الفتن :: الفتن لنعيم بن حماد	Fitan	سمير أمين الزهيري :: القاهرة :: 1412 :: مكتبة التوحيد	JK000025	pri	113130	452689	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0250AH/data/0228IbnHammadKhuzaci/0228IbnHammadKhuzaci.Fitan/0228IbnHammadKhuzaci.Fitan.JK000025-ara1	_TARIKH :: GAL@0750-1000CE :: _MILAL :: _HADITH :: _CAQAID :: GAL@literature-islamic :: GAL@period-classical :: _AJZA :: CENT0300 :: GAL@literature-arabic :: GAL@hadith :: JK@الأجزاء الموضوعية :: JK@الكتب المسندة :: JK@كتب العقائد المسندة :: JK@كتب العقائد والملل :: ShamAY@متون الحديث :: Shamela@متون الحديث :: Shia@مصادر التاريخ :: born@Khurasan_RE_Auto :: PRIMARY_VERSION :: CLEANED_VERSION	Ibn Hammad Khuzaci									
0228IbnHammadKhuzaci.Fitan.ShamAY0033953-ara1	ara	ara	False	0228	أبو عبد الله نعيم بن حماد بن معاوية بن الحارث الخزاعي المروزي :: نعيم بن حماد المروزي	Ibn Hammad Khuzaci	0228IbnHammadKhuzaci.Fitan	الفتن :: الفتن  :: الفتن لنعيم بن حماد - ط الفكر	Fitan		ShamAY0033953	sec	117845	473836	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/0250AH/data/0228IbnHammadKhuzaci/0228IbnHammadKhuzaci.Fitan/0228IbnHammadKhuzaci.Fitan.ShamAY0033953-ara1	_TARIKH :: GAL@0750-1000CE :: _MILAL :: _HADITH :: _CAQAID :: GAL@literature-islamic :: GAL@period-classical :: _AJZA :: CENT0300 :: GAL@literature-arabic :: GAL@hadith :: JK@الأجزاء الموضوعية :: JK@الكتب المسندة :: JK@كتب العقائد المسندة :: JK@كتب العقائد والملل :: ShamAY@متون الحديث :: Shamela@متون الحديث :: Shia@مصادر التاريخ :: born@Khurasan_RE_Auto	Ibn Hammad Khuzaci									
